Roof,7.47,104.83,2324711.77
Mechanical Floor,3.51,97.36,2902932.6
L22,3.81,93.85,2141704.79
L21,3.51,90.04,1441674.58
L20,3.51,86.53,1443171.71
L19,3.51,83.02,1443171.71
L18,3.51,79.51,1443171.71
L17,3.51,76,1516155.87
L16,3.51,72.49,1535829.94
L15,3.51,68.98,1542890.99
L14,3.51,65.47,1468952.41
L13,3.51,61.96,1529322.17
L12,3.51,58.45,1649770.23
L11,3.51,54.94,1620115.71
L10,3.51,51.43,1558275.33
L9,3.51,47.92,1643633.94
L8,3.51,44.41,1629177.83
L7,3.51,40.9,1586858.66
L6,4.42,37.39,1644052.11
L5,3.3,32.97,5504110.49
L4 (Podium),0.66,29.67,2404252.87
L4 (Tower),4.57,29.01,835335.81
L3,4.27,24.44,4355072.52
L2,2.67,20.17,4527101.43
L1 (Tower),0.84,17.5,487267.64
L1 (Podium),1.84,16.66,2136319.7
GF (Tower),1.82,14.82,588975.35
GF (Podium),3.9,13,4448060.53
B1,3.05,9.1,5235679.31
B2,3.05,6.05,5173819.19
B3,3,3,8593193.81
Base,0,0,278841.08
